School Name,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED
"Dr. Martin Luther King, Jr.  MS",623,49.6,50.4,≤5.0,13.6,36.1,28.1,≤5.0,16.7,5.3,9.1,48.2,10.8
Kingsview MS,1034,48.8,51.2,≤5.0,27.5,21.2,13.8,≤5.0,32.1,5.3,≤5.0,18,8.1
Lakelands Park MS,1049,48.9,51.1,≤5.0,15.1,13.4,18.3,≤5.0,48.6,≤5.0,6.2,22,11.1
Col. E. Brooke Lee MS,691,54,46,≤5.0,9.3,25.5,54.6,≤5.0,7.1,≤5.0,18.4,66.7,13.9
A. Mario Loiederman MS,919,39.9,60.1,≤5.0,6.1,21.5,57.7,≤5.0,11.6,≤5.0,18.9,62.1,12.3
Montgomery Village MS,713,54.7,45.3,≤5.0,10,30.4,49.2,≤5.0,6.7,≤5.0,16,66.3,16.1
Neelsville MS,911,51,49,≤5.0,8.1,32.8,47.1,≤5.0,7.8,≤5.0,16.5,67.7,8.3
Newport Mill MS,587,50.8,49.2,≤5.0,11.1,16.5,48.4,≤5.0,19.6,≤5.0,15,49.4,18.4
North Bethesda MS,1028,53.9,46.1,≤5.0,11.9,5.8,12.5,≤5.0,63.1,6.4,5.7,5.9,10.2
Parkland MS,964,52.8,47.2,≤5.0,17.5,24.5,43.6,≤5.0,11,≤5.0,9.3,48.3,9.1
Rosa M. Parks MS,902,50.9,49.1,≤5.0,10.3,10.2,11.1,≤5.0,63.2,5.1,≤5.0,9.8,7
John Poole MS,332,52.7,47.3,≤5.0,≤5.0,≤5.0,10.8,≤5.0,75,≤5.0,≤5.0,11.1,9.6
Thomas W. Pyle MS,1516,51.3,48.7,≤5.0,11.2,≤5.0,7.9,≤5.0,72.1,6.5,5.9,≤5.0,8.5
Redland MS,550,50.2,49.8,≤5.0,11.3,17.6,36.4,≤5.0,30.5,≤5.0,11.1,37.1,11.1
Ridgeview MS,746,50.8,49.2,≤5.0,13.9,15.4,25.2,≤5.0,39.8,5.5,6.3,30,8.3
Rocky Hill MS,1279,48.9,51.1,≤5.0,27.4,23.5,14.6,≤5.0,28.3,5.9,≤5.0,19.9,8.3
Shady Grove MS,565,52.7,47.3,≤5.0,11.5,20.2,35.9,≤5.0,25.7,6.5,9,40.5,11.2
Silver Spring International MS,1042,48.8,51.2,≤5.0,5.1,24.2,37.9,≤5.0,27.8,≤5.0,12.7,42.3,10.6
Sligo MS,625,49.8,50.2,≤5.0,8.2,22.4,41.1,≤5.0,25.1,≤5.0,11.7,44,13.1
Takoma Park MS,1055,52.1,47.9,≤5.0,20.2,28.9,15.4,≤5.0,30.1,5.3,8.2,24.7,6.4
Tilden MS,850,55.2,44.8,≤5.0,17.6,7.4,19.3,≤5.0,48.9,6.4,16.5,11.6,15.1
Julius West MS,1279,52.5,47.5,≤5.0,21,14.1,25.3,≤5.0,33.5,6,11.7,26.4,7.5
Westland MS,1260,51.4,48.6,≤5.0,5.5,10.5,14.4,≤5.0,64.4,≤5.0,9,10.6,8.4
White Oak MS,760,53.8,46.2,≤5.0,10.8,31.3,46.1,≤5.0,9.5,≤5.0,18,61.7,10
Earle B. Wood MS,970,51.6,48.4,≤5.0,11.4,13.3,38.4,≤5.0,32.2,≤5.0,9.3,35.7,13.4
Bethesda-Chevy Chase HS,2006,51.4,48.6,≤5.0,5.4,14.8,17.6,≤5.0,56.3,5.7,8.9,12,8.6
Montgomery Blair HS,2882,50.8,49.2,≤5.0,15.3,25.5,32.3,≤5.0,22.7,≤5.0,15.5,36.3,6.7
James Hubert Blake HS,1579,42.9,57.1,≤5.0,9.2,41.6,22.9,≤5.0,21.5,≤5.0,≤5.0,33.9,10.1
Winston Churchill HS,2093,53.4,46.6,≤5.0,23.2,8.4,8.3,≤5.0,55.2,≤5.0,≤5.0,≤5.0,12.5
Clarksburg HS,1989,49.9,50.1,≤5.0,18.4,28,26.6,≤5.0,22.7,≤5.0,6.9,29.6,8.9
Damascus HS,1209,49.4,50.6,≤5.0,6.8,10.5,17.1,≤5.0,60,≤5.0,≤5.0,15.1,13.2
Thomas Edison HS of Technology,506,70.8,29.2,≤5.0,≤5.0,22.5,51.6,≤5.0,18.4,≤5.0,17,43.9,30.2
Albert Einstein HS,1689,45.7,54.3,≤5.0,9.7,19.8,47.2,≤5.0,20.2,≤5.0,14,43.8,14.5
