school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED,Level,Year
Julius West MS,1324,52.0,48.0,≤5.0,19.6,15.6,23,≤5.0,34.7,6.7,7.6,23.6,8.1,Middle School,2017-2018
Westland MS,1037,52.7,47.3,≤5.0,5.8,9.8,14.8,≤5.0,64.2,5.1,≤5.0,8.2,10.2,Middle School,2017-2018
White Oak MS,789,54.0,46.0,≤5.0,9.8,29.9,50.4,≤5.0,7.1,≤5.0,15.8,62.2,7,Middle School,2017-2018
Earle B. Wood MS,1026,53.3,46.7,≤5.0,10.6,14,43.5,≤5.0,27.7,≤5.0,10.7,35.7,17,Middle School,2017-2018
Bethesda-Chevy Chase HS,2102,51.4,48.6,≤5.0,≤5.0,14.3,17.5,≤5.0,57.2,5.8,6.7,11.1,8.3,High School,2017-2018
Montgomery Blair HS,3083,51.4,48.6,≤5.0,15.1,23.8,33.9,≤5.0,22.5,≤5.0,18,36.3,6.8,High School,2017-2018
James Hubert Blake HS,1624,43.0,57.0,≤5.0,9.3,41.1,26.1,≤5.0,18.2,5.2,≤5.0,34.5,10.2,High School,2017-2018
Winston Churchill HS,2123,54.6,45.4,≤5.0,27.7,8.7,8.1,≤5.0,50,5.4,≤5.0,≤5.0,10.8,High School,2017-2018
Clarksburg HS,2148,48.4,51.6,≤5.0,19,28.9,27.9,≤5.0,19.8,≤5.0,8,26.8,9.4,High School,2017-2018
Damascus HS,1271,51.2,48.8,≤5.0,8.6,11.4,18.8,≤5.0,55.7,≤5.0,≤5.0,14.6,12.6,High School,2017-2018
Thomas Edison HS of Technology,671,66.8,33.2,≤5.0,≤5.0,23.4,59,≤5.0,10.4,≤5.0,25,42.8,26.8,High School,2017-2018
Albert Einstein HS,1803,49.3,50.7,≤5.0,9.3,17.8,48.4,≤5.0,20.8,≤5.0,17.1,39.7,12.9,High School,2017-2018
